SearchName,PreferredFoot
Ji Dong Won,Right
Pablo Chavarria~Pablo Chavarría,Right
Diego Marino~Diego Mariño,Right
Wesley Lautoa,Left
Glynor Plet,Right
Walter Ayovi~Walter Ayoví,Left
Hiram Mier,Right
Nicolai Jørgensen,Right
Waldemar Sobota,Right
Ahmet Ilhan Ozek~Ahmet Ilhan Özek,Right
Marco Bizot,Right
Youness Mokhtar,Right
Camilo,Right
Hong Jeong Ho,Right
Muhamed Besic~Muhamed Bešic,Right
Carl Jenkinson,Right
Harmeet Singh,Right
Ismaily,Left
Afriyie Acquah,Right
Kasper Kusk,Left
Mohammed Abu,Left
Alvaro~Álvaro,Right
Marco Capuano,Left
Mats Møller Dæhli,Right
Robbie Brady,Left
Recio,Right
Radoslaw Majewski,Right
Andreas Cornelius,Left
Jon Flanagan,Right
Darlington Nagbe,Right
Stefano Sturaro,Right
Nacho Cases,Left
Juan Pablo Pino,Right
Sergi Darder,Right
Fabian Castillo~Fabián Castillo,Right
Anouar Kali,Left
Chris Lowe~Chris Löwe,Left
John Stones,Right
Loris Karius,Right
Valentin Viola~Valentín Viola,Right
Pozuelo,Right
Lucas Andersen,Right
John Anthony Brooks,Left
Sadio Diallo,Right
Jean Barrientos,Right
Abdoulaye Ba,Right
Adriano Facchini,Right
Denis Suarez,Right
Jeff Louis,Right
Jean-Daniel Akpa Akpro,Right
Rodolfo Salinas,Right
Nicola Murru,Left
Rafael Robayo,Right
Funso Ojo,Right
Jurgen Damm~Jürgen Damm,Right
Filip Helander,Left
Jonas Hector,Right
Djakaridja Kone~Djakaridja Koné,Right
Luis Fuentes,Left
Ibrahim Ghaleb,Right
Yehya Al Shehri,Left
Gary Gardner,Right
Kevin Wimmer,Left
Diego Lopes,Right
Astrit Ajdarevic~Astrit Ajdarevic,Left
Salem Al Dossari,Right
Bjorn Engels~Björn Engels,Right
Igor Smolnikov,Right
Pedro Santos,Left
Paolo Hurtado,Right
Ribair Rodriguez~Ribair Rodríguez,Right
Ariel Rojas,Left
Martin Perez Guedes~Martín Pérez Guedes,Right
Alexis Rolin,Right
Gaya~Gayà,Left
Niklas Sule~Niklas Süle,Right
Alexander Scholz,Right
Saleh Gomaa,Right
Ivan Cavaleiro,Right
Tiago Silva,Right
Michael Jacobs,Right
Jhasmani Campos,Right
Oscar Duarte~Óscar Duarte,Right
Magomed Ozdoev,Right
Ricardo Horta,Right
Esteban Pavez,Right
Vladimir Hernandez~Vladimir Hernández,Right
Daniel Torres,Right
Luis Paez~Luis Páez,Left
Matias Laba~Matías Laba,Right
Stefan Medina,Right
Carlos Izquierdoz,Right
Silvio Romero,Right
Matias Kranevitter~Matías Kranevitter,Right
Guillermo Sara,Right
Matteo Mancosu,Right
Alen Halilovic~Alen Halilovic,Left
Jose Maria Gimenez~José María Giménez,Right
Aleksandar Pantic,Right
Salih Ucan~Salih Uçan,Right
Djavan,Left
Sebastian Cristoforo~Sebastián Cristóforo,Right
Simone Scuffet,Right
Igor Bubnjic~Igor Bubnjic,Left
Emre Gural~Emre Güral,Left
Inigo Perez~Iñigo Pérez,Left
Matias Silvestre~Matías Silvestre,Right
Modou Sougou,Right
James McArthur,Right
Georgi Milanov,Left
Calum Chambers,Right
Julio Furch,Right
Frederic Bulot~Frédéric Bulot,Left
Cristian Pasquato,Right
Pablo Granoche,Left
Dany Nounkeu,Right
Tongo Doumbia,Right
Sebastian Coates~Sebastián Coates,Right
Lorenzo Tonelli,Right
Abdul Majeed Waris,Right
Fernando Uribe,Left
Nicolas Isimat-Mirin,Right
John Guidetti,Right
Vidar Orn Kjartansson~Vidar Örn Kjartansson,Right
Ibrahima Conte~Ibrahima Conté,Right
Paolo De Ceglie,Left
Frederik Sørensen,Right
Luis Carlos Arias,Left
Danny Shittu,Right
Johan Larsson,Right
Renan Bressan,Right
Alessio Romagnoli,Left
Willi Orban,Right
Brayan Perea,Right
Guy Demel,Right
Deniz Turuc~Deniz Türüç,Left
Shaun Wright-Phillips,Right
Yuri,Right
Simon Cziommer,Right
Emmerson Boyce,Right
Dwayne De Rosario,Right
Lomana LuaLua,Right
Paul Robinson,Right
Trond Olsen,Left
Cesar Peixoto~César Peixoto,Left
Jelle ten Rouwelaar,Left
Romeo Castelen,Right
Gary Caldwell,Right
Daniele Cacia,Right
Matteo Brighi,Right
Petter Vaagan Moen,Left
Hanno Balitsch,Right
Ugur Inceman~Ugur Inceman,Right
Olivier Deschacht,Left
Brad Davis,Left
Øyvind Storflor,Right
Alvaro Anton~Álvaro Antón,Right
Vidar Nisja,Right
Mijat Maric~Mijat Maric,Left
Steffen Hofmann,Right
Craig Gordon,Left
Anton Ferdinand,Right
Matt Taylor,Left
Steven Caldwell,Right
Peter Niemeyer,Right
Karl Henry,Right
Claudio Terzi,Right
Rune Almenning Jarstein,Right
Dawid Plizga,Right
Remi Gomis~Rémi Gomis,Right
Christian Wetklo,Right
Cedric Kante~Cédric Kanté,Left
Andy Lonergan,Left
Steven Whittaker,Right
Benjamin De Ceulaer,Right
Enis Alushi,Right
Serkan Balci,Right
Yigit Incedemir~Yigit Incedemir,Right
Fehmi Emre Gungor~Fehmi Emre Güngör,Right
Rasmus Wurtz~Rasmus Würtz,Right
Diego de la Torre,Right
Rafal Murawski,Right
Bogdan Lobont~Bogdan Lobont,Right
Mike Magee,Right
Boy Waterman,Right
Valerio Di Cesare,Left
Pape Malikou Diakhate~Pape Malikou Diakhaté,Right
Jonathan Walters,Right
Billy Jones,Right
Lino,Left
Sebastian Abreu~Sebastián Abreu,Left
Walter Erviti,Left
Alan Hutton,Right
Dario Veron~Darío Verón,Right
Kenan Hasagic~Kenan Hasagic,Right
Roberto Nanni,Left
Giovanni Hernandez~Giovanni Hernández,Right
Selcuk Sahin~Selçuk Sahin,Right
Pedro Rios~Pedro Ríos,Right
Lopez Garai,Right
Leo Franco,Right
Jonathan Valle,Left
Codina,Right
Kaku Guelor Kanga~Kaku Guélor Kanga,Right
Roberto Torres,Right
Vladimir Dyadyun,Right
Pawel Kieszek,Right
Dariusz Dudka,Right
Marco Biagianti,Right
Francesco Magnanelli,Right
Daniele Corvia,Right
Romain Salin,Left
Sam Ricketts,Right
Kris Stadsgaard,Right
Koen Persoons,Right
Kelvin Davis,Right
Clarence Goodson,Right
Magnus Wolff Eikrem,Right
Hernan Encina~Hernán Encina,Right
Nikos Spyropoulos,Left
Sebastien Le Toux,Right
Richard Stearman,Right
Carl Ikeme,Right
Piotr Celeban,Right
Lewis Buxton,Right
Luis Gabriel Rey,Left
Carlitos,Right
Luis Carlos~Luís Carlos,Right
Steven Davies,Left
Gennaro Sardo,Right
Pablo Barrera,Right
Markus Steinhofer~Markus Steinhöfer,Right
Matty Fryatt,Right
Pablo Ledesma,Right
Juanma,Left
Miso Brecko~Mišo Brecko,Right
Philipp Tschauner,Right
Willem Janssen,Right
Jean Beausejour,Left
Erwin Hoffer,Right
Elton~Élton,Left
Nestor Ortigoza~Néstor Ortigoza,Right
Emmanuel Culio,Left
Nicola Pozzi,Right
Tiberio Guarente,Left
Liam Ridgewell,Left
Steve Colpaert,Right
Ugur Ucar~Ugur Uçar,Right
David Jones,Left
Quincy Owusu-Abeyie,Right
Mauricio Caranta,Right
James Perch,Right
Danielson,Right
Billy Sharp,Right
Jordan Remacle,Right
James Vaughan,Right
Kelvin Wilson,Right
Daniel Congre~Daniel Congré,Right
Joao Vilela~João Vilela,Right
Tebar~Tébar,Right
Tim Hoogland,Right
Stephen Ward,Left
Jan Simunek~Jan Šimunek,Right
Oliver Fink,Right
Kirill Panchenko,Right
Jesus Mendez~Jesús Méndez,Right
Nsue,Right
Joey O'Brien,Right
Jeremy Sorbon~Jérémy Sorbon,Right
Henok Goitom,Right
Sergio Herrera,Right
Dean Cox,Right
Itay Shechter,Right
Mohammed Noor,Right
Ikechi Anya,Left
Emmanuel Cascione,Right
Daniel Adlung,Right
Carlos Luna,Right
Rui Pedro,Right
Steve De Ridder,Right
Hugo Ayala,Right
Bilal Kisa,Left
Gabriel Penalba~Gabriel Peñalba,Right
Joona Toivio,Right
Dani Estrada,Right
Ilhan Parlak~Ilhan Parlak,Right
Nicklas Pedersen,Right
Diego de Buen,Right
Dwight Tiendalli,Right
Matteo Ardemagni,Right
Ramon Leeuwin,Right
Adrian Mariappa,Right
Alberto Frison,Right
Mohamed Fofana,Right
Ramon Fernandez~Ramón Fernández,Right
Adama Tamboura,Left
Victor Bernardez~Victor Bernárdez,Right
Balboa,Right
Stanislav Sestak~Stanislav Šesták,Right
Herve Kage~Hervé Kage,Right
Sven Kums,Right
Nano,Left
Yeom Ki Hun,Left
Julien Quercia,Right
Per Karlsson,Right
Mattias Bjarsmyr~Mattias Bjärsmyr,Right
Lukas Jutkiewicz,Left
Pedro Sanchez~Pedro Sánchez,Right
Welliton,Right
Patric Klandt,Right
Nicolas Bertolo~Nicolás Bertolo,Right
Fabricio,Right
Par Hansson~Pär Hansson,Right
Ignacio Gonzalez~Ignacio González,Left
Federico Peluso,Left
Nicolas Frey,Right
Chris Pontius,Right
Juan Castillo,Right
Ben Sahar,Right
Ceyhun Gulselam~Ceyhun Gülselam,Right
Matt McKay,Left
Marco Stiepermann,Left
Pierre Bengtsson,Left
Torgeir Børven,Right
Leandro Bacuna,Right
Romain Genevois,Right
Johann Carrasso,Right
Everton Santos,Right
Mark Beevers,Left
Kermit Erasmus,Right
Joakim Vage Nilsen~Joakim Våge Nilsen,Left
Claudio Beauvue,Right
Bojan Jorgacevic,Right
Guy-Roland Ndy Assembe,Right
David Pollet,Right
Eros Pisano,Right
Jamie Paterson,Right
Jay Spearing,Right
Chris Herd,Right
Robert Tesche,Right
Ryan Bennett,Right
Aaron~Aarón,Left
Stefano Celozzi,Right
Orlando Sa~Orlando Sá,Right
Nill De Pauw,Right
Jem Karacan,Right
Adam Bogdan~Ádám Bogdán,Right
Nicolas Sanchez~Nicolás Sánchez,Right
Chris Martin,Right
Mano,Right
Rodrigo Galo,Right
Peter Gulacsi~Péter Gulácsi,Right
Diego Angelo~Diego Ângelo,Left
Even Hovland,Right
Danny Drinkwater,Right
Gilles Sunu,Left
Nicolas Peric~Nicolás Peric,Right
Matias Alustiza~Matías Alustiza,Left
Tsepo Masilela,Left
Abdou Traore~Abdou Traoré,Right
Franco Vazquez~Franco Vázquez,Left
Andre Claro~André Claro,Right
Alexey Kozlov,Right
Spartak Gogniev,Left
Roman Berezovskiy,Right
Ricardo Jesus~Ricardo Jesús,Right
Ronald Vargas,Right
Thomas Oar,Left
Matteo Politano,Left
Diogo Viana,Right
Fabrizio Cacciatore,Right
Georgios Galitsios,Right
Dani Pacheco,Right
Alexandre Coeff,Right
Joel Ekstrand,Right
Francesco Caputo,Right
Sebastian Eriksson,Left
Patrick Roberts,Left
Joao Aurelio~João Aurélio,Right
Francis Coquelin,Right
Mads Winther Albæk,Left
Amine Chermiti,Left
Lorenzo Ariaudo,Left
Mirko Boland,Left
Magne Hoseth,Left
Da Costa,Right
Mame Ousmane Cissokho,Left
Panagiotis Tachtsidis,Left
Mamadou Samassa,Right
Stoppila Sunzu,Right
Michel~Míchel,Right
Carlos Edwards,Right
Laurens De Bock,Left
Benjamin Andre~Benjamin André,Right
Havard Nielsen~Håvard Nielsen,Right
Ervin Zukanovic~Ervin Zukanovic,Left
Lukas Hradecky,Right
Gohi Bi Cyriac,Right
Felix Kroos,Right
Jeff Hendrick,Right
Ruben Olivera~Rubén Olivera,Right
Jonas Kamper,Right
Fabrice N'Sakala,Left
Adrian Stoian,Right
Nabil Bahoui,Right
Sergey Narubin,Right
Mauro Formica,Right
Demetris Christofi,Right
Maxime Barthelme~Maxime Barthelmé,Left
Escudero,Left
Archimede Morleo,Left
Marco Rojas,Right
Herrerin~Herrerín,Right
Joel Obi,Left
Guus Hupperts,Right
Fredy,Right
Kevin Doyle,Right
Diafra Sakho,Right
Dodo~Dodô,Left
Vasco Regini,Left
Andre Pinto~André Pinto,Right
Jack Colback,Left
Magaye Gueye,Left
Max Grun~Max Grün,Right
Knowledge Musona,Right
Trujillo,Right
Jone Samuelsen,Right
Luca Marrone,Right
Mathew Leckie,Right
Radosav Petrovic~Radosav Petrovic,Right
Johnnie Jackson,Left
Mathieu Peybernes~Mathieu Peybernès,Right
Joel Robles,Right
Crivellaro,Left
Rodrigo Millar,Right
Ladislas Douniama,Right
Helder Pelembe~Hélder Pelembe,Right
Babanco,Left
Dejan Lazarevic~Dejan Lazarevic,Right
Pape Abdou Camara,Right
Alen Stevanovic,Right
Lorenzo Crisetig,Left
Samba Diakite~Samba Diakité,Right
Rogelio Funes Mori,Right
Robert Mak~Róbert Mak,Right
Franco Jara,Right
Steve Clark,Right
Diego Scotti,Right
Raoul Cedric Loe~Raoul Cedric Loé,Right
Josh McEachran,Left
Richmond Boakye,Right
Jonathan Williams,Right
Pablo Sarabia,Left
Simone Benedetti,Right
Jesus Palacios~Jesús Palacios,Right
Nicolas Pallois,Left
Deivid,Right
Harun Tekin,Right
Christopher Maboulou,Right
Lindsay Rose,Right
Balazs Megyeri~Balázs Megyeri,Right
Jordi Masip,Right
Almog Cohen,Right
Ricardo Pedriel,Right
Arbilla,Right
Arkadiusz Piech,Right
Florian Jozefzoon,Right
Michael Ortega,Right
Roland Alberg,Right
Steven Reid,Right
Nico Schulz,Left
James Forrest,Right
Denys Oliynyk,Right
Pedro Mendes,Right
Diego Ifran~Diego Ifrán,Right
Djibril Sidibe~Djibril Sidibé,Right
Errasti,Right
Kirill Nababkin,Right
Taras Burlak,Right
Jakub Sylvestr,Right
Salif Sane~Salif Sané,Right
Alexander Søderlund,Right
Felix Klaus,Right
Simon Zoller,Right
Milos Maric,Right
Lee Seung Gi,Right
Jonathan Zongo,Right
Stevie May,Right
Leigh Griffiths,Left
Jean-Christophe Bahebeck,Right
Mauro,Right
Juan Ignacio Gomez,Right
Alban Meha,Right
Gabriel Hauche,Right
Yoann Touzghar,Right
Anthony Knockaert,Left
Gustavo Bolivar~Gustavo Bolívar,Right
Yannick Stark,Right
Baptiste Reynet,Right
Cristian Herrera,Left
Julian Korb,Right
Dino Arslanagic,Right
Gary Mackay-Steven,Left
Duvier Riascos,Right
Benjamin Mendy,Left
Santiago Gentiletti,Left
Luca Antei,Right
Andy O'Brien,Right
Luca Ceppitelli,Right
Immanuel Hohn~Immanuel Höhn,Right
Dwight Gayle,Right
Leonardo Pavoletti,Right
Sergey Pesyakov,Right
Serge Gnabry,Right
Will Hughes,Left
Fernando Barrientos,Right
Giannis Skondras,Right
Mike Havenaar,Left
Dom Dwyer,Left
Tobias Strobl,Right
Alexy Bosetti,Right
Albentosa,Right
Sam Byram,Right
Omar Hawsawi,Right
Abdullah Al Enezi,Right
Chris Maguire,Right
Giles Barnes,Right
Gerso,Left
Wagner,Left
Branimir Hrgota,Left
Milan Vilotic~Milan Vilotic,Right
Christian Gunter~Christian Günter,Left
Jairo Palomino,Right
Ahmed Hassan,Right
Ricardo Laborde,Right
Leo Itaperuna~Léo Itaperuna,Right
Joao Cancelo~João Cancelo,Right
Mauro Dos Santos,Right
Manquillo,Right
Paulo Dybala,Left
Ramon Azeez~Ramón Azeez,Right
Mauro Goicoechea,Right
Enrique Esqueda,Right
Malick Neme Mane~Malick Neme Mané,Right
Borja Lopez~Borja López,Right
Timo Werner,Right
Julian Brandt,Right
Brandon Mechele,Right
Andres Renteria~Andrés Rentería,Right
Gyasi Zardes,Right
Toze~Tozé,Right
Nicolas Castillo~Nicolás Castillo,Right
Hernan Grana~Hernán Grana,Right
Daniel Bamberg,Right
Benjamin Vidal~Benjamín Vidal,Right
Mathias Riquero~Mathías Riquero,Right
Christian Vilches,Right
Jefferson Cuero,Left
Diego Sanchez~Diego Sánchez,Right
Nicolas Aguirre~Nicolás Aguirre,Left
Lorenzo Faravelli,Left
Gino Peruzzi,Right
Jonathan Silva,Left
Lennox Bacela,Right
Rodney Wallace,Left
Alejandro Gonzalez~Alejandro González,Right
Genki Haraguchi,Right
Essaid Belkalem~Essaïd Belkalem,Right
Ramon Cardozo~Ramón Cardozo,Right
Joaquin Arzura~Joaquín Arzura,Right
Tiemoue Bakayoko~Tiémoué Bakayoko,Right
David Costas,Right
Illiass Bel Hassani,Left
Ishak Dogan~Ishak Dogan,Left
Muhammed Ildiz,Right
Eric Pereira,Left
Carlos Gruezo,Right
Yoichiro Kakitani,Right
Mario Pasalic~Mario Pašalic,Left
Umit Kurt~Ümit Kurt,Left
David Depetris,Right
Diederik Boer,Right
Benjamin Kessel,Right
Roberto Guana,Right
Franck Etoundi,Right
Jesper Jørgensen,Right
Jos Hooiveld,Left
Andy Reid,Left
Djamel Mesbah,Left
Simone Bentivoglio,Right
Benat~Beñat,Right
Oscar Cardozo~Óscar Cardozo,Left
Glenn Murray,Right
Willie Overtoom,Right
Havard Nordtveit~Håvard Nordtveit,Right
Andy Delort,Right
Andre Hahn~André Hahn,Right
Michael Eneramo,Right
Aaron Cresswell,Left
Simon Makienok,Right
Stefan Scepovic~Stefan Šcepovic,Right
Isaac Cofie,Right
Lee Barnard,Right
Aaron O'Connor,Right
Adryan,Right
Jamie Ness,Left
Palmi Rafn Palmason~Pálmi Rafn Pálmason,Right
Benjamin Nivet,Right
Stephen Henderson,Right
Manu~Manú,Right
Pintassilgo,Right
Grant Holt,Right
Alessandro Agostini,Left
Juan Muniz~Juan Muñiz,Left
Hans Henrik Andreasen,Right
Johan Wiland,Right
Carlos Bocanegra,Left
Lionel Mathis,Right
Ludovic Butelle,Left
Laurent Bonnart,Right
Anthony Le Tallec,Right
Bruno Grougi,Right
Alaeddine Yahia,Right
David Forde,Right
Lee Camp,Right
Daniel Haas,Right
Goran Sukalo~Goran Šukalo,Right
Stephen Hunt,Left
Seol Ki Hyeon,Right
Leandro Cufre~Leandro Cufré,Right
Gregory Pujol~Grégory Pujol,Right
Antonio Hidalgo,Right
Fabien Audard,Left
Rafael Olarra,Left
Nino,Right
Mario Eggimann,Right
Sebastien Roudet~Sébastien Roudet,Left
Charles Itandje,Right
Barry Copa,Right
Fabio Coltorti,Right
Elyasa Sume~Elyasa Süme,Right
Andrea Mantovani,Left
Hasan Kabze,Right
Adem Kocak~Adem Koçak,Left
Gregory Bourillon~Grégory Bourillon,Right
Stephen Dobbie,Right
David Garcia~David García,Left
Marcelo Nicacio~Marcelo Nicácio,Right
Kim Byung Ji,Right
Kim Yong Dae,Right
Kim Young Kwang,Right
Ninos Gouriye,Right
Papa Waigo,Right
Georgios Samaras,Right
Franck Signorino,Left
Bryan Bergougnoux,Right
Nahki Wells,Right
Oliver Kragl,Left
Oscar Perez~Óscar Pérez,Right
Aleksandar Tonev,Right
Aldo De Nigris,Right
Waldo Ponce,Right
Jake Buxton,Right
Alfred Duncan,Left
Tal Ben Haim,Left
Evgeniy Makeev,Right
Osmar Ferreyra,Left
Martin Dausch,Left
Roman Martinez~Román Martínez,Right
Diego Villar,Right
Moryke Fofana,Right
Serdar Kurtulus~Serdar Kurtulus,Right
Daniel Tozser~Dániel Tozsér,Left
Caglar Birinci~Çaglar Birinci,Left
Santiago Salcedo,Right
Serdar Ozkan~Serdar Özkan,Right
Sercan Yildirim,Right
Tomas Lanzini~Tomás Lanzini,Right
Acoran~Acorán,Right
Seoane,Right
Momo,Left
Iago Bouzon~Iago Bouzón,Right
Guillermo Vallori,Right
Daniel Jensen,Right
Ivan Cuellar~Iván Cuéllar,Left
Pena~Peña,Left
Felipe Sanchon~Felipe Sanchón,Left
Bastos,Right
Sebastian Mila,Left
David Mendes da Silva,Right
Brian Vandenbussche,Left
Tom Høgli,Right
Michael Tonge,Right
Marco Caligiuri,Right
Dimitrios Konstantopoulos,Left
Ricardo Vaz Te~Ricardo Vaz Tê,Right
Hernan Losada~Hernán Losada,Right
Pablo Vitti,Right
Mihai Roman,Right
Vadim Demidov,Right
Simon Cox,Right
Andrea Orlandi,Left
Fernando Arce,Right
Jerome Thomas,Right
Ovidiu Herea,Right
Damian Alvarez~Damián Álvarez,Right
Rafael Marquez Lugo~Rafael Márquez Lugo,Right
Jonas Borring,Left
Edson Braafheid,Left
Marko Livaja,Right
Joel Huiqui,Right
Alan Zamora,Right
Efrain Velarde~Efraín Velarde,Left
Marc-Antoine Fortune~Marc-Antoine Fortuné,Right
Jan Wuytens,Left
Javier Anibal Elizondo~Javier Aníbal Elizondo,Right
Thomas Kessler,Right
Juanlu Hens,Right
Marco Schneuwly,Left
Cesar Santin~César Santin,Right
Christian Puggioni,Right
Ben Watson,Right
Sergey Tkachev,Left
Mark Bunn,Right
Davide Biondini,Right
Emanuel Villa,Right
Ross Turnbull,Right
Danny Graham,Right
Djamel Abdoun,Right
Jonny Magallon~Jonny Magallón,Right
Leon Barnett,Right
Serhiy Pylypchuk,Left
Johan Dahlin,Right
Marcel de Jong,Left
Tomasz Lisowski,Left
Michael Parkhurst,Right
Ivanildo,Left
Tim Sparv,Left
Edouard Duplan,Right
Bobby Boswell,Right
Jack Hobbs,Right
Emanuele Pesoli,Right
Razak Boukari,Right
Franco Niell,Right
Marco Ruben,Left
Adam Larsen Kwarasey,Right
David Wheater,Right
Axel Bellinghausen,Left
Matthew Connolly,Right
Marcelo Oliveira,Left
Ricardinho,Left
Danijel Milicevic,Right
Markus Suttner,Left
Aquivaldo Mosquera,Right
Maxime Baca,Right
Ben Turner,Left
Eliran Atar,Right
Ryan Shotton,Right
Simon Dawkins,Right
Antonio Balzano,Right
Jordi Gomez~Jordi Gómez,Left
Carlos Esquivel,Right
Lee Sang Hup,Left
Rob Elliot,Left
Ruben Ramirez~Rubén Ramírez,Right
Aythami Artiles,Right
Pablo Sanchez~Pablo Sánchez,Right
Chus Herrero,Right
Jim Larsen,Right
Matias Martinez~Matías Martínez,Right
Jonathan Pereira,Right
Isaac Promise,Right
Federico Moretti,Right
Haris Vuckic~Haris Vuckic,Left
Matias Cahais~Matías Cahais,Left
Onur Kaya,Right
Nicki Bille Nielsen,Right
Federico Dionisi,Right
Sebastian Leto~Sebastián Leto,Left
Gerson Acevedo,Right
Mark Reynolds,Left
Chris Gunter,Right
Wilson Palacios,Right
Kevin McDonald,Right
Samir Ujkani,Right
Ritchie De Laet,Right
Pereirinha,Right
Cezary Wilk,Right
Lee Keun Ho,Right
Alharbi El Jadeyaoui,Left
Daniel Larsson,Right
Marvin Emnes,Right
Luis Pedro Figueroa,Right
Severo Meza,Right
Nuno Coelho,Right
Yannick Djalo~Yannick Djaló,Right
Jesus Zavala~Jesús Zavala,Right
Stephan Furstner~Stephan Fürstner,Right
Marti Riverola~Martí Riverola,Right
Hakan Ozmert~Hakan Özmert,Right
Bashkim Kadrii,Left
Mario Vrancic,Left
Dani,Right
Francesco Della Rocca,Left
Davide Bassi,Right
Andrea Luci,Left
Ola Kamara,Right
Søren Rieks,Left
Sam Vokes,Right
Damien Da Silva,Right
Happy Jele,Right
Jermaine Beckford,Right
Stevica Ristic~Stevica Ristic,Right
Pavel Krmas~Pavel Krmaš,Left
Chong Te Se,Right
Ruben Ribeiro~Rúben Ribeiro,Right
Aldo Angoula,Right
Heinrich Schmidtgal,Left
Kenny McLean,Left
Mathias Jørgensen,Right
Jens Grahl,Right
Moses Odubajo,Right
Soren Gonther~Sören Gonther,Right
Sandro Wagner,Right
Romain Thomas,Left
Christian Schneuwly,Right
Adamo Coulibaly,Right
Sergio Tejera,Left
Herold Goulon,Right
Omer Sismanoglu~Ömer Sismanoglu,Right
Tomasz Kupisz,Right
Reda Johnson~Réda Johnson,Left
Marcelo Larrondo,Right
Benjamin Moukandjo,Right
Vincenzo Fiorillo,Right
Thomas Rogne,Right
Denis Odoi,Right
Batuhan Karadeniz,Right
Robert Koch,Right
Federico Macheda,Right
Adam Clayton,Right
Dusan Veskovac~Dušan Veškovac,Right
Sebastian Maier,Right
Guray Vural~Güray Vural,Left
Montoro,Right
Joffre Guerron~Joffre Guerrón,Right
Reginal Goreux~Réginal Goreux,Right
Marinho,Right
Ashley Barnes,Right
Omar Merlo,Right
Moussa Maazou~Moussa Maâzou,Right
Kanu,Left
Cristian Maidana,Left
Edwin Hernandez~Edwin Hernández,Left
Alex Pritchard,Right
Ariel Borysiuk,Right
Frederic Sammaritano~Frédéric Sammaritano,Right
Ricardo Noir,Right
Edimar,Left
Ante Budimir,Left
Vincent Rufli~Vincent Rüfli,Right
Vincent Sasso,Right
William Matheus,Left
Moussa Narry,Right
Ahmed Kashi,Right
Alex Bergantinos~Alex Bergantiños,Right
Filip Starzynski~Filip Starzynski,Right
Sercan Sararer,Right
Pau Cendros~Pau Cendrós,Right
Dorege Kouemaha,Right
Mohamed Amsif,Right
Tunay Torun,Right
Maikon Leite,Right
Ben Mee,Left
Samuel Armenteros,Left
Guido Marilungo,Right
Jonathan Rossini,Right
Lukasz Skorupski,Right
Joao Real~João Real,Right
Paul Coutts,Right
John Brayford,Right
Oier,Right
Danny Hoesen,Right
Edgar Benitez~Edgar Benítez,Left
Franco Zuculini,Right
Matthew Rusike,Right
Antonio Rios~Antonio Ríos,Right
Blagoy Georgiev,Right
Prejuce Nakoulma~Préjuce Nakoulma,Right
Marco Silvestri,Right
Pascal Groß,Right
Sergio Escudero,Left
Soren Brandy~Sören Brandy,Right
Jens Wemmer,Right
Abdulaziz Al Dosari,Left
Marco D'Alessandro,Right
Chris Wood,Right
Issam El Adoua,Right
Gary Kagelmacher,Right
Kevin Kratz,Right
Andreas Luthe,Right
Matilla,Right
Pierrick Cros,Right
Jesus Corona~Jesús Corona,Right
Heinz Lindner,Right
Thomas Delaney,Left
Julian Koch,Right
Baris Basdas~Baris Basdas,Right
Roberto Soriano,Right
Javi Lara,Right
Diego Novaretti,Left
Shaun Hutchinson,Right
Kelvin Leerdam,Right
Guido Burgstaller,Right
Sergey Davydov,Right
Abdoul Camara,Left
Marco Paixao~Marco Paixão,Right
Joris Delle,Left
Kevin Gomis,Right
Ruben Mino~Rubén Miño,Right
Borja Garcia~Borja García,Right
Rami Gershon,Left
Igor Lebedenko,Right
Borja Baston~Borja Bastón,Right
Marco Davide Faraoni,Right
Johan Fano,Right
Brou Benjamin Angoua,Right
Yonathan Del Valle,Right
Yaya Sanogo,Right
Cedrick,Right
Alessandro Bernardini,Right
Luke James,Right
Rodrigo Rojas,Right
Chris Schuler,Left
Bryan Oviedo,Left
Mathias Autret,Left
Borja Gomez~Borja Gómez,Left
Bennard Kumordzi,Right
Luis Marin~Luis Marín,Right
Nemanja Tomic~Nemanja Tomic,Right
Jonathan Delaplace,Right
Hong Chul,Left
Manuel Riemann,Right
Riccardo Improta,Right
Claiton,Left
Osariemen Ebagua,Left
Sergi Gomez~Sergi Gómez,Right
Musa Cagiran~Musa Çagiran,Left
Matz Sels,Right
Renato Neto,Right
Ramiro Funes Mori,Left
Romain Metanire~Romain Métanire,Right
Emil Larsen,Right
Barry Robson,Left
Pedro Moreira,Right
Graeme Shinnie,Left
Diogo Amado,Right
Nick Marsman,Right
Alexander Merkel,Right
Benjamin Lecomte,Right
Liam Moore,Right
Jerry Mbakogu,Right
Charis Mavrias,Right
Nicolas De Preville,Right
Cristiano Biraghi,Left
Jarchinio Antonia,Right
Andre Wisdom,Right
Efrain Cortes~Efraín Cortés,Left
Massadio Haidara~Massadio Haïdara,Left
Erik Moran~Erik Morán,Right
Nicolas Benezet,Right
Konstantinos Stafylidis,Left
Riku Riski,Right
Joao Plata,Right
Jesper Drost,Right
Javi Espinosa,Right
Tom Carroll,Left
Victor Alvarez~Víctor Álvarez,Left
Pablo Ceppelini,Right
John Rankin,Left
Fernando Meneses,Right
Dirk Orlishausen,Right
Lucas Aveldano~Lucas Aveldaño,Right
Adrien Trebel,Left
Raul Fernandez~Rául Fernández,Left
Rafal Wolski,Right
Florian Raspentino,Right
Pele van Anholt~Pelé van Anholt,Right
