SearchName,PreferredFoot
Leonardo Valencia,Right
Eric Maxim Choupo-Moting,Right
Leonardo,Right
Adam Maher,Right
Kwadwo Asamoah,Left
Valeri Qazaishvili,Right
Cuauhtemoc Blanco~Cuauhtémoc Blanco,Right
Miroslav Klose,Right
Jose Reina~José Reina,Right
Dimitar Berbatov,Right
Didier Drogba,Right
Ashley Cole,Left
Rafael van der Vaart,Left
Nigel de Jong,Right
Cedric Carrasso~Cédric Carrasso,Right
Felipe Melo,Right
Stefan Kießling,Right
Nabil Fekir~Nabil Fékir,Left
Ailton,Right
Tolga Zengin,Right
Soldado,Right
Luisao~Luisão,Right
Rio Antonio Mavuba,Right
Vieirinha,Right
Llorente,Right
Sergio Araujo,Right
Gary Cahill,Right
Theo Walcott,Right
Laurent Koscielny,Right
Diego Alves,Left
Martin Skrtel~Martin Škrtel,Right
Thiago Neves,Left
Giovani dos Santos,Left
Gervinho,Right
Nuri Sahin~Nuri Sahin,Left
Leandro Castan~Leandro Castán,Left
Igor Denisov,Right
Lars Bender,Right
Sven Bender,Right
Branislav Ivanovic~Branislav Ivanovic,Right
Rubin Okotie,Right
Beto,Right
Mamadou Sakho,Left
Sofiane Feghouli,Right
Ramires,Right
Gaston Ramirez~Gastón Ramirez,Left
Jordi Alba,Left
Jack Wilshere,Left
Thiago,Right
Kevin Strootman,Left
Mauro Zarate~Mauro Zárate,Right
Henrikh Mkhitaryan,Right
Marko Arnautovic~Marko Arnautovic,Right
Axel Witsel,Right
Raphael Varane~Raphaël Varane,Right
Roberto Firmino,Right
Carlos Bacca,Right
Aymeric Laporte,Left
Fernando Torres,Right
Flavio Paixao~Flavio Paixão,Right
Daniel Agger,Left
Javier Hernandez~Javier Hernández,Right
Hakan Calhanoglu~Hakan Çalhanoglu,Right
Artem Dzyuba,Right
Ederson,Right
Tiago,Right
Veli Kavlak,Right
Gareth Barry,Left
Antonio Cassano,Right
Tomas Rosicky~Tomáš Rosický,Right
Koo Ja Cheol,Right
Ronaldinho,Right
Mikel Arteta,Right
Romain Alessandrini,Left
Patrice Evra,Left
Emmanuel Adebayor,Right
Phil Jagielka,Right
Iraola,Right
Aduriz,Right
Jeremy Mathieu~Jérémy Mathieu,Left
David Villa,Right
Diego Benaglio,Right
Fredy Montero,Right
Bruno Alves,Right
Vincent Enyeama,Right
Guillermo Ochoa,Right
Raffael,Right
Gael Clichy~Gaël Clichy,Left
Michael Bradley,Right
Raul Albiol~Raúl Albiol,Right
Mathieu Debuchy,Right
Loic Perrin~Loïc Perrin,Right
Moussa Dembele~Moussa Dembélé,Left
Bacary Sagna,Right
Gonzalo Castro,Right
Antonio Valencia,Right
Naldo,Right
Kevin Mirallas,Right
Pedro Morales,Right
Demba Ba,Right
Morgan Schneiderlin,Right
Josip Ilicic~Josip Ilicic,Left
Kiko Casilla,Right
Helder Postiga~Hélder Postiga,Right
Rui Patricio~Rui Patrício,Left
Ever Banega~Éver Banega,Right
Simon Kjær,Right
Federico Fazio,Right
Christian Benteke,Right
Ricardo Alvarez~Ricardo Álvarez,Left
Wojciech Szczesny~Wojciech Szczesny,Right
Mateo Musacchio,Right
